,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
276,kaitangata,-46.28,169.85,276.48,90,58,0.89,NZ,1602699785
277,urengoy,65.97,78.37,272.3,91,44,6.11,RU,1602699786
278,neiafu,-18.65,-173.98,296.15,69,75,4.1,TO,1602699788
279,nyagan,62.14,65.39,274.61,84,100,3.85,RU,1602699789
281,egvekinot,66.32,-179.17,269.92,97,99,2.87,RU,1602699791
282,jurado,7.11,-77.76,301.07,71,27,3.28,CO,1602699792
283,freeport,40.66,-73.58,294.26,40,1,5.1,US,1602699760
284,kashan,33.98,51.44,287.33,28,0,1.59,IR,1602699795
285,port lincoln,-34.73,135.87,297.02,27,100,10.73,AU,1602699796
286,cayenne,4.93,-52.33,306.15,46,2,5.7,GF,1602699798
287,dolores,-36.31,-57.68,296.84,59,1,7.14,AR,1602699799
288,altud,43.72,43.87,287.15,87,78,1,RU,1602699666
289,cherskiy,68.75,161.3,272.8,93,75,4.62,RU,1602699802
290,bikaner,28.02,73.3,302.27,15,11,3.45,IN,1602699803
291,calbe,51.9,11.77,282.59,84,100,4.02,DE,1602699804
292,coquimbo,-29.95,-71.34,291.15,63,20,5.1,CL,1602699805
293,bud,39.45,-86.18,296.48,35,1,6.2,US,1602699807
294,mount gambier,-37.83,140.77,291.15,72,93,3.6,AU,1602699808
295,tsiroanomandidy,-18.77,46.03,299.44,52,92,1.04,MG,1602699809
296,jiayuguan,39.82,98.3,279.01,49,0,4.6,CN,1602699810
297,sanming,26.25,117.62,293.25,77,93,0.84,CN,1602699812
298,plettenberg bay,-34.05,23.37,288.16,83,0,2.81,ZA,1602699813
299,miraflores,19.22,-98.81,296.15,40,5,4.1,MX,1602699814
300,matamoros,25.53,-103.25,299.15,44,5,1.51,MX,1602699594
301,praya,14.92,-23.51,301.15,78,75,6.7,CV,1602699668
302,san julian,21.02,-102.17,294.93,57,8,1.31,MX,1602699818
303,torrijos,39.98,-4.28,290.93,29,0,4.96,ES,1602699820
304,tartagal,-22.52,-63.8,311.15,33,100,4.1,AR,1602699822
305,kavaratti,10.57,72.64,301.02,77,90,8.87,IN,1602699823
306,esperance,-33.87,121.9,286.15,100,75,4.1,AU,1602699825
308,chapais,49.78,-74.85,280.15,93,90,2.6,CA,1602699827
309,hasaki,35.73,140.83,291.15,82,75,5.1,JP,1602699828
310,longyearbyen,78.22,15.64,270.15,86,20,2.6,SJ,1602699829
311,payson,40.04,-111.73,293.15,52,40,9.3,US,1602699611
312,tangjiazhuang,39.73,118.45,285.98,64,90,2.53,CN,1602699832
313,ossora,59.24,163.07,279.73,95,100,9.48,RU,1602699833
314,ndele,8.41,20.65,296.54,87,96,0.94,CF,1602699835
315,arraial do cabo,-22.97,-42.03,299.15,74,40,4.6,BR,1602699782
316,codrington,-38.27,141.97,291.6,57,100,5.32,AU,1602699837
317,grindavik,63.84,-22.43,282.15,93,90,14.9,IS,1602699838
318,catamarca,-28.47,-65.79,299.26,38,63,0.89,AR,1602699840
320,nagayo,32.82,129.89,292.04,59,0,8.05,JP,1602699842
321,el campo,29.2,-96.27,303.71,54,40,1.5,US,1602699822
322,muros,42.78,-9.06,287.59,71,9,1.34,ES,1602699845
323,fairbanks,64.84,-147.72,267.59,78,90,1.17,US,1602699758
324,ovalle,-30.6,-71.2,297.85,39,83,3.49,CL,1602699638
325,khani,41.96,42.96,290.15,77,55,1,GE,1602699849
326,tiarei,-17.53,-149.33,298.15,78,75,6.2,PF,1602699850
328,mount isa,-20.73,139.5,298.15,38,0,3.6,AU,1602699853
329,bijie,27.31,105.29,284.52,93,100,1.66,CN,1602699854
330,chumikan,54.72,135.31,271.83,87,69,8.2,RU,1602699855
331,the pas,53.83,-101.25,274.15,47,90,9.8,CA,1602699856
332,bowmore,34.94,-79.3,297.59,47,1,1.5,US,1602699858
333,lagoa,39.05,-27.98,293.53,77,1,2.83,PT,1602699859
334,pangody,65.85,74.49,272.99,92,15,6.14,RU,1602699860
335,alta gracia,-31.65,-64.43,298.71,31,73,3.1,AR,1602699861
336,chuy,-33.7,-53.46,292.36,70,4,4.23,UY,1602699863
337,isla vista,34.41,-119.86,304.26,44,1,4.1,US,1602699864
338,salinopolis,-0.61,-47.36,302.38,64,80,6.67,BR,1602699865
339,saint george,37.1,-113.58,294.15,15,1,1.69,US,1602699866
340,la ronge,55.1,-105.28,271.15,54,75,8.2,CA,1602699868
341,garachine,8.06,-78.36,301.21,72,17,4.13,PA,1602699869
343,berlevag,70.86,29.09,277.15,86,40,7.2,NO,1602699871
344,namikupa,-10.83,39.6,295.94,83,47,2.43,TZ,1602699873
345,barra patuca,15.8,-84.28,301.74,78,64,4.91,HN,1602699874
346,nagato,34.38,131.2,291.15,63,20,2.6,JP,1602699875
347,galveston,29.37,-94.97,302.59,65,40,4.6,US,1602699589
348,mandalgovi,45.76,106.27,272.41,85,100,2.29,MN,1602699878
349,akyab,20.15,92.9,300.74,80,39,2.21,MM,1602699879
350,kibray,41.39,69.46,285.15,50,0,2.1,UZ,1602699881
351,naze,28.37,129.48,295.15,83,40,2.1,JP,1602699882
352,hamilton,39.18,-84.53,296.15,35,1,5.1,US,1602699764
353,bontang,0.13,117.5,299.77,85,44,3.51,ID,1602699884
354,lamar,33.67,-95.58,300.37,57,1,4.1,US,1602699885
355,contamana,-7.33,-75.02,310.58,28,17,1.96,PE,1602699887
356,yaqui,27.37,-110.17,304.15,48,90,2.6,MX,1602699888
357,moroni,-11.7,43.26,298.15,94,40,2.1,KM,1602699720
358,shelburne,44.08,-80.2,289.15,36,20,6.2,CA,1602699890
360,karlshamn,56.17,14.86,282.15,81,40,9.3,SE,1602699893
361,portobelo,9.55,-79.65,300.93,78,56,4.02,PA,1602699894
362,rio gallegos,-51.62,-69.22,288.15,24,75,8.2,AR,1602699868
363,xining,36.62,101.77,275.42,81,20,0.68,CN,1602699896
364,henties bay,-22.12,14.28,288.15,88,0,0.45,NA,1602699897
365,ust-koksa,50.27,85.61,270.9,90,48,0.56,RU,1602699899
366,meulaboh,4.14,96.13,299.11,78,100,2.05,ID,1602699900
367,banda aceh,5.56,95.32,300.85,68,100,3.71,ID,1602699901
368,mier,26.43,-99.15,307.15,41,1,3.1,MX,1602699903
369,sao joao da barra,-21.64,-41.05,303.15,55,7,7.2,BR,1602699904
370,vrbove,48.62,17.72,281.15,87,90,3.6,SK,1602699905
371,tilichiki,60.47,166.1,277.45,98,100,7.04,RU,1602699906
372,hondo,32.45,130.2,292.04,59,0,8.05,JP,1602699907
374,nantucket,41.28,-70.1,292.15,48,1,5.7,US,1602699910
375,trinidad,-14.83,-64.9,308.15,50,75,4.1,BO,1602699911
376,myitkyina,25.38,97.4,297.14,77,2,0.48,MM,1602699912
377,sioux lookout,50.1,-91.92,279.15,81,75,3.6,CA,1602699914
378,quelimane,-17.88,36.89,298.15,73,75,3.6,MZ,1602699915
379,san quintin,30.48,-115.95,301.76,38,46,3.21,MX,1602699916
380,leningradskiy,69.38,178.42,272.22,93,99,3.95,RU,1602699918
381,arlit,18.74,7.39,309.55,9,0,1.42,NE,1602699919
382,borba,-4.39,-59.59,307.65,42,83,2.23,BR,1602699920
383,vardo,70.37,31.11,277.15,80,40,6.2,NO,1602699922
384,mitsamiouli,-11.38,43.28,298.15,94,40,2.1,KM,1602699923
385,ribeira grande,38.52,-28.7,296.15,73,20,3.6,PT,1602699924
386,rengo,-34.42,-70.87,289.15,67,75,2.6,CL,1602699925
387,lagos,6.58,3.75,298.15,94,40,2.11,NG,1602699799
388,codajas,-3.84,-62.06,307.28,45,68,1.44,BR,1602699928
389,manadhoo,5.77,73.38,301.48,77,91,10.1,MV,1602699929
390,husavik,66.04,-17.34,281.15,70,93,6.7,IS,1602699930
391,nanakuli,21.39,-158.15,299.15,69,1,1.5,US,1602699932
392,patnos,39.23,42.86,285.83,35,43,0.87,TR,1602699933
393,novoagansk,61.94,76.66,275.11,95,100,7.13,RU,1602699678
394,montepuez,-13.13,39,300.26,51,90,3.64,MZ,1602699935
395,vestmannaeyjar,63.44,-20.27,282.15,81,90,9.3,IS,1602699936
396,rawson,-43.3,-65.1,289.02,30,0,4.99,AR,1602699938
397,ilulissat,69.22,-51.1,276.15,55,75,1.5,GL,1602699939
398,urlati,44.98,26.23,288.15,93,0,2.6,RO,1602699940
399,melfi,41,15.65,285.37,87,90,3.28,IT,1602699941
400,evensk,61.95,159.23,275.86,95,100,6.12,RU,1602699749
401,ulaanbaatar,47.91,106.88,265.15,72,24,1,MN,1602699745
402,comodoro rivadavia,-45.87,-67.5,294.15,19,2,4.6,AR,1602699945
403,deleni,47.47,26.88,282.04,70,0,3.1,RO,1602699946
404,lindi,-10,39.72,299.15,83,75,5.1,TZ,1602699947
405,yar-sale,66.83,70.83,272.88,92,4,6.1,RU,1602699948
406,palana,59.12,159.97,276.98,87,100,2.76,RU,1602699950
407,coihaique,-45.58,-72.07,286.15,35,100,3.6,CL,1602699951
408,rutana,-3.87,30.1,290.81,84,9,1.38,BI,1602699952
409,omboue,-1.57,9.26,297.51,81,67,4.18,GA,1602699953
410,aberdeen,57.14,-2.1,281.48,87,3,2.6,GB,1602699955
411,alta floresta,-9.88,-56.09,303.6,47,69,1.44,BR,1602699956
412,loandjili,-4.76,11.86,299.15,78,40,3.6,CG,1602699957
413,termoli,41.99,14.99,290.37,69,80,3.58,IT,1602699958
414,washington,47.5,-120.5,285.93,62,47,4.02,US,1602699959
415,nara,34.69,135.8,290.93,64,16,1.61,JP,1602699961
416,tocopilla,-22.09,-70.2,293.37,47,30,4.91,CL,1602699962
417,burley,42.54,-113.79,286.15,37,1,9.8,US,1602699963
418,adamovka,51.52,59.94,283.98,41,52,3.38,RU,1602699964
419,kampene,-3.6,26.67,296.7,77,52,0.27,CD,1602699965
